Iteration,EventNumber,TimeStep,StormLocation,AreaElementTextID,WatersideGroundElevation,StormWaterLevelDB,WaveDB,DepthLimitedWaveHeight,SLCContribution,TideContribution,WaveContribution,AdjustedWaveContribution,TotalWaterLevel
1,70,18,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,18,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,19,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,19,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,20,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,20,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,21,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,21,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,22,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,22,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,23,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,23,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,24,1,BH1,2.45,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,24,1,BH2,4.25,-0.48,0.00,0.00,0.08,0.00,0.00,0.00,-0.40
1,70,25,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,25,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,26,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,26,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,27,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,27,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,28,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,28,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,29,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,29,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,30,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,30,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,31,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,31,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,32,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,32,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,33,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,33,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,34,1,BH1,2.45,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,34,1,BH2,4.25,-0.47,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,35,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,35,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.39
1,70,36,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,36,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,37,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,37,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,38,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,38,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,39,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,39,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,40,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,40,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,41,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,41,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,42,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,42,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,43,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,43,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,44,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,44,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,45,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,45,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,46,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,46,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,47,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,47,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,48,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,48,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,49,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,49,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,50,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,50,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,51,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,51,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,52,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,52,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,53,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,53,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,54,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,54,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,55,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,55,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,56,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,56,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,57,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,57,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,58,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,58,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,59,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,59,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,60,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,60,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,61,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,61,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,62,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,62,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,63,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,63,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,64,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,64,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,65,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,65,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,66,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,66,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,67,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,67,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,68,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,68,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,69,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,69,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,70,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,70,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,71,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,71,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,72,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,72,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,73,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,73,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,74,1,BH1,2.45,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,74,1,BH2,4.25,-0.46,0.00,0.00,0.08,0.00,0.00,0.00,-0.38
1,70,75,1,BH1,2.45,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,75,1,BH2,4.25,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,76,1,BH1,2.45,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,76,1,BH2,4.25,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,77,1,BH1,2.45,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,77,1,BH2,4.25,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,78,1,BH1,2.45,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,78,1,BH2,4.25,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,79,1,BH1,2.45,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,79,1,BH2,4.25,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,80,1,BH1,2.45,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,80,1,BH2,4.25,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,81,1,BH1,2.45,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,81,1,BH2,4.25,-0.45,0.00,0.00,0.08,0.00,0.00,0.00,-0.37
1,70,82,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,82,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,83,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,83,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,84,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,84,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,85,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,85,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,86,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,86,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,87,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,87,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,88,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,88,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,89,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,89,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,90,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,90,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,91,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,91,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,92,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,92,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,93,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,93,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,94,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,94,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,95,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,95,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,96,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,96,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,97,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,97,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,98,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,98,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,99,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,99,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,100,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,100,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,101,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,101,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,102,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,102,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,103,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,103,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,104,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,104,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,105,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,105,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,106,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,106,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,107,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,107,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,108,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,108,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,109,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,109,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,110,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,110,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,111,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,111,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,112,1,BH1,2.45,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,112,1,BH2,4.25,-0.43,0.00,0.00,0.08,0.00,0.00,0.00,-0.35
1,70,113,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,113,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,114,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,114,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,115,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,115,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,116,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,116,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,117,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,117,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,118,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,118,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,119,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,119,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,120,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,120,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,121,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,121,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,122,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,122,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,123,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,123,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,124,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,124,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,125,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,125,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,126,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,126,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,127,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,127,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,128,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,128,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,129,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,129,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,130,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,130,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,131,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,131,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,132,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,132,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,133,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,133,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,134,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,134,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,135,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,135,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,136,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,136,1,BH2,4.25,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
1,70,137,1,BH1,2.45,-0.44,0.00,0.00,0.08,0.00,0.00,0.00,-0.36
