Iteration,Year,NumberStorms,PropertyDamage,LossOfLife
3,2037,0,0,0
3,2038,0,0,0
3,2039,0,0,0
3,2040,0,0,0
3,2041,0,0,0
3,2042,2,475953,0
3,2043,0,0,0
3,2044,0,0,0
3,2045,0,0,0
3,2046,0,0,0
3,2047,0,0,0
3,2048,0,0,0
3,2049,1,1210317,0
3,2050,0,0,0
3,2051,0,0,0
3,2052,0,0,0
3,2053,1,1265433,0
3,2054,1,0,0
3,2055,0,0,0
3,2056,0,0,0
3,2057,0,0,0
3,2058,0,0,0
3,2059,0,0,0
3,2060,1,0,0
3,2061,0,0,0
3,2062,1,0,0
3,2063,0,0,0
3,2064,1,0,0
3,2065,0,0,0
3,2066,0,0,0
3,2067,2,1501423,0
3,2068,0,0,0
3,2069,0,0,0
4,2016,0,0,0
4,2017,0,0,0
4,2018,0,0,0
4,2019,0,0,0
4,2020,0,0,0
4,2021,0,0,0
4,2022,0,0,0
4,2023,0,0,0
4,2024,0,0,0
4,2025,0,0,0
4,2026,1,0,0
4,2027,0,0,0
4,2028,0,0,0
4,2029,0,0,0
4,2030,0,0,0
4,2031,0,0,0
4,2032,0,0,0
4,2033,1,460938,0
4,2034,0,0,0
4,2035,1,0,0
4,2036,1,514455,0
4,2037,0,0,0
4,2038,1,0,0
4,2039,0,0,0
4,2040,0,0,0
4,2041,0,0,0
4,2042,0,0,0
4,2043,0,0,0
4,2044,0,0,0
4,2045,0,0,0
4,2046,0,0,0
4,2047,1,0,0
4,2048,1,0,0
4,2049,0,0,0
4,2050,1,719715,0
4,2051,1,0,0
4,2052,0,0,0
4,2053,0,0,0
4,2054,0,0,0
4,2055,1,0,0
4,2056,0,0,0
4,2057,2,759159,0
4,2058,0,0,0
4,2059,1,0,0
4,2060,2,795049,0
4,2061,0,0,0
4,2062,0,0,0
4,2063,1,0,0
4,2064,0,0,0
4,2065,0,0,0
4,2066,0,0,0
4,2067,1,0,0
4,2068,0,0,0
4,2069,0,0,0
5,2016,1,0,0
5,2017,0,0,0
5,2018,0,0,0
5,2019,0,0,0
5,2020,0,0,0
5,2021,0,0,0
5,2022,1,0,0
5,2023,0,0,0
5,2024,0,0,0
5,2025,0,0,0
5,2026,1,0,0
5,2027,0,0,0
5,2028,0,0,0
5,2029,0,0,0
5,2030,0,0,0
5,2031,0,0,0
5,2032,1,753894,0
5,2033,0,0,0
5,2034,1,0,0
5,2035,0,0,0
5,2036,0,0,0
5,2037,0,0,0
5,2038,0,0,0
5,2039,1,0,0
5,2040,0,0,0
5,2041,0,0,0
5,2042,0,0,0
5,2043,0,0,0
5,2044,0,0,0
5,2045,0,0,0
5,2046,1,0,0
5,2047,0,0,0
5,2048,0,0,0
5,2049,0,0,0
5,2050,0,0,0
5,2051,0,0,0
5,2052,1,0,0
5,2053,1,461841,0
5,2054,0,0,0
5,2055,0,0,0
5,2056,1,0,0
5,2057,0,0,0
5,2058,0,0,0
5,2059,0,0,0
5,2060,0,0,0
5,2061,0,0,0
5,2062,0,0,0
5,2063,0,0,0
5,2064,1,0,476
5,2065,1,1147582,0
5,2066,0,0,0
5,2067,0,0,0
5,2068,0,0,0
5,2069,0,0,0
6,2016,0,0,0
6,2017,0,0,0
6,2018,2,0,0
6,2019,0,0,0
6,2020,0,0,0
6,2021,0,0,0
6,2022,0,0,0
6,2023,0,0,0
6,2024,0,0,0
6,2025,0,0,0
6,2026,0,0,0
6,2027,0,0,0
6,2028,0,0,0
6,2029,0,0,0
6,2030,0,0,0
6,2031,0,0,0
6,2032,1,0,11
6,2033,0,0,0
6,2034,0,0,0
6,2035,1,0,0
6,2036,1,0,0
6,2037,0,0,0
6,2038,0,0,0
6,2039,0,0,0
6,2040,1,0,0
6,2041,0,0,0
6,2042,0,0,0
6,2043,0,0,0
6,2044,0,0,0
6,2045,0,0,0
6,2046,0,0,0
6,2047,1,0,0
6,2048,0,0,0
6,2049,0,0,0
6,2050,0,0,0
6,2051,0,0,0
6,2052,0,0,0
6,2053,0,0,0
6,2054,0,0,0
6,2055,0,0,0
6,2056,0,0,0
6,2057,0,0,0
6,2058,1,0,0
6,2059,1,0,0
6,2060,0,0,0
6,2061,0,0,0
6,2062,0,0,0
6,2063,0,0,0
6,2064,1,0,0
6,2065,0,0,0
6,2066,1,9120128,0
6,2067,1,0,0
6,2068,0,0,0
6,2069,0,0,0
7,2016,0,0,0
7,2017,0,0,0
7,2018,0,0,0
7,2019,0,0,0
7,2020,0,0,0
7,2021,0,0,0
7,2022,0,0,0
7,2023,0,0,0
7,2024,1,0,0
7,2025,0,0,0
7,2026,0,0,0
7,2027,0,0,0
7,2028,0,0,0
7,2029,1,5909108,47
7,2030,1,334830,0
7,2031,0,0,0
7,2032,1,322979,0
7,2033,0,0,0
7,2034,0,0,0
7,2035,1,401597,0
7,2036,0,0,0
7,2037,0,0,0
7,2038,0,0,0
7,2039,0,0,0
7,2040,0,0,0
7,2041,0,0,0
7,2042,0,0,0
7,2043,0,0,0
7,2044,0,0,0
7,2045,0,0,0
7,2046,0,0,0
7,2047,0,0,0
7,2048,0,0,0
7,2049,0,0,0
7,2050,2,1159720,0
7,2051,0,0,0
7,2052,0,0,0
7,2053,0,0,0
7,2054,0,0,0
7,2055,0,0,0
7,2056,0,0,0
7,2057,0,0,0
7,2058,0,0,0
7,2059,1,643202,0
7,2060,0,0,0
7,2061,0,0,0
7,2062,0,0,0
7,2063,0,0,0
7,2064,0,0,0
7,2065,0,0,0
7,2066,0,0,0
7,2067,1,0,0
7,2068,0,0,0
7,2069,0,0,0
8,2016,0,0,0
8,2017,0,0,0
8,2018,1,0,0
8,2019,1,0,0
8,2020,0,0,0
8,2021,0,0,0
8,2022,0,0,0
8,2023,0,0,0
8,2024,0,0,0
8,2025,0,0,0
8,2026,0,0,0
8,2027,0,0,0
8,2028,0,0,0
8,2029,0,0,0
8,2030,0,0,0
8,2031,0,0,0
8,2032,1,0,0
8,2033,1,0,0
8,2034,0,0,0
8,2035,0,0,0
8,2036,0,0,0
8,2037,0,0,0
8,2038,0,0,0
8,2039,0,0,0
8,2040,0,0,0
8,2041,0,0,0
8,2042,0,0,0
8,2043,0,0,0
8,2044,0,0,0
8,2045,0,0,0
8,2046,0,0,0
8,2047,0,0,0
8,2048,1,0,0
8,2049,0,0,0
8,2050,0,0,0
8,2051,0,0,0
8,2052,1,0,0
8,2053,0,0,0
8,2054,1,1181028,0
8,2055,0,0,0
8,2056,0,0,0
8,2057,0,0,0
8,2058,2,1269066,0
8,2059,0,0,0
8,2060,0,0,0
8,2061,1,0,0
8,2062,0,0,0
8,2063,0,0,0
8,2064,0,0,0
8,2065,0,0,0
8,2066,0,0,0
8,2067,1,0,0
8,2068,0,0,0
8,2069,0,0,0
9,2016,0,0,0
9,2017,0,0,0
9,2018,1,0,0
9,2019,0,0,0
9,2020,0,0,0
9,2021,0,0,0
9,2022,0,0,0
9,2023,0,0,0
9,2024,0,0,0
9,2025,0,0,0
9,2026,1,0,0
9,2027,1,310008,0
9,2028,0,0,0
9,2029,0,0,0
9,2030,1,0,0
9,2031,0,0,0
9,2032,1,0,0
9,2033,1,300599,0
9,2034,0,0,0
9,2035,0,0,0
9,2036,0,0,0
9,2037,0,0,0
9,2038,0,0,0
9,2039,0,0,0
9,2040,0,0,0
9,2041,2,387712,0
9,2042,0,0,0
9,2043,1,0,0
9,2044,0,0,0
9,2045,1,0,0
9,2046,0,0,0
9,2047,0,0,0
9,2048,0,0,0
9,2049,0,0,0
9,2050,1,520937,0
9,2051,0,0,0
9,2052,1,516182,0
9,2053,0,0,0
9,2054,0,0,0
9,2055,0,0,0
9,2056,0,0,0
9,2057,0,0,0
9,2058,1,621792,0
9,2059,1,1408565,0
9,2060,0,0,0
9,2061,0,0,0
9,2062,0,0,0
9,2063,0,0,0
9,2064,0,0,0
9,2065,0,0,0
9,2066,1,688891,0
9,2067,0,0,0
9,2068,0,0,0
9,2069,1,733998,0
10,2016,0,0,0
10,2017,0,0,0
10,2018,1,0,0
10,2019,0,0,0
10,2020,0,0,0
10,2021,0,0,0
10,2022,0,0,0
10,2023,1,6305165,0
10,2024,0,0,0
10,2025,0,0,0
10,2026,1,6329274,0
10,2027,0,0,0
10,2028,1,0,0
10,2029,0,0,0
10,2030,0,0,0
10,2031,0,0,0
10,2032,1,0,0
10,2033,0,0,0
10,2034,0,0,0
10,2035,0,0,0
10,2036,0,0,0
10,2037,1,0,0
10,2038,0,0,0
10,2039,0,0,0
10,2040,1,0,0
10,2041,0,0,0
10,2042,0,0,0
10,2043,1,0,36
10,2044,0,0,0
10,2045,0,0,0
10,2046,1,0,0
10,2047,0,0,0
10,2048,1,0,0
10,2049,0,0,0
10,2050,0,0,0
10,2051,0,0,0
10,2052,1,0,0
10,2053,1,0,0
10,2054,0,0,0
10,2055,0,0,0
10,2056,0,0,0
10,2057,0,0,0
10,2058,0,0,0
10,2059,0,0,0
10,2060,0,0,0
10,2061,0,0,0
10,2062,0,0,0
10,2063,0,0,0
10,2064,1,1263138,0
10,2065,0,0,0
10,2066,1,574443,0
10,2067,0,0,0
10,2068,0,0,0
10,2069,0,0,0
